occupation,soc_code
"Bosses, Pit",39-1011
"Bosses, Quarry  ",47-1011
Botany Professors,25-1042
Bottle Cappers,51-9111
Bouncers,33-9032
Bowling Alley Mechanics,49-9099
Box Fabricators,51-9196
Boxing Trainers,27-2022
Brace Makers,51-9082
Bradley Linebacker Crewmembers,55-3013
Braille and Talking Books Clerks,43-4121
Braille Proofreaders,43-9081
"Branders, Cattle ",45-2093
Brass and Wind Instrument Repairers,49-9063
Brass Rollers,51-4023
Brazers,51-4121
Brazing Machine Operators,51-4122
Brazing Machine Setters,51-4122
Brazing Machine Tenders,51-4122
Bread Bakers,51-3011
"Breakers, Horse ",39-2011
"Breeders, Animal",45-2021
"Breeders, Horse ",45-2021
Brewery Pumpers,53-7072
Brewmasters,51-9012
Brick Carriers,47-3011
Brick Chimney Builders,47-2021
Brick Makers,51-9041
Brick Washers,47-3011
"Bricklayers, Refractory  ",47-2021
Brickmasons,47-2021
Brickmasons and Blockmasons,47-2021
Brickmasons Helpers,47-3011
"Brickmasons, Blockmasons, and Stonemasons",47-2020
Bridge and Lock Tenders,53-6010
Bridge and Lock Tenders,53-6011
Bridge Engineers,17-2051
Bridge Ironworkers,47-2221
Bridge Painter Helpers,47-3014
Bridge Painters,47-2141
Bridge Tenders,53-6011
Broadcast and Sound Engineering Technicians and Radio Operators,27-4010
Broadcast Engineers,27-4012
Broadcast News Analysts,27-3021
Broadcast Technicians,27-4012
Brokerage Clerks,43-4010
Brokerage Clerks,43-4011
"Brokers, Cotton ",13-1021
"Brokers, Grain",13-1021
"Brokers, Licensed Real Estate ",41-9021
"Brokers, Real Estate",41-9021
"Brokers, Stock ",41-3031
"Brokers, Wholesale Diamond ",41-4012
Budget Analysts,13-2030
Budget Analysts,13-2031
Budget Examiners,13-2031
Budget Officers,13-2031
"Buffers, Hand ",51-9022
"Buffing Machine Tool Operators, Metal and Plastic",51-4033
"Buffing Machine Tool Setters, Metal and Plastic",51-4033
"Buffing Machine Tool Tenders, Metal and Plastic",51-4033
"Builders, Air Bag ",51-2099
"Builders, Anode ",51-2022
"Builders, Battery ",51-2022
"Builders, Brick Chimney ",47-2021
"Builders, Cabinet ",51-7011
"Builders, Coil ",51-2021
"Builders, Crate ",51-2099
"Builders, Custom Wood Stair",47-2031
"Builders, Fiberglass Boat ",51-2091
"Builders, Kiln Door ",49-9045
"Builders, Machine ",51-2031
"Builders, Plastic Jig and Fixture ",51-4061
"Builders, Tire",51-9197
"Builders, Wire Fence ",47-4031
"Builders, Wood Jig",51-7031
Building and Grounds Cleaning and Maintenance Occupations,37-0000
Building Architects,17-1011
Building Architectural Designers,17-1011
Building Carpenters,47-2031
Building Cleaning and Pest Control Workers,37-2000
Building Cleaning Supervisors,37-1011
Building Cleaning Workers,37-2010
"Building Cleaning Workers, All Other",37-2019
Building Drafters,17-3011
Building Inspectors,47-4011
Building Maintenance Mechanics,49-9071
Building Managers,11-9141
Building Pressure Washers,37-2019
Building Rental Managers,11-9141
Bulk Mail Clerks,43-5051
Bulldozer Mechanics,49-3042
Bulldozer Operators,47-2073
Burglar Alarm Installers,49-2098
Bus and Truck Mechanics and Diesel Engine Specialists,49-3030
Bus and Truck Mechanics and Diesel Engine Specialists,49-3031
Bus Drivers,53-3020
"Bus Drivers, Intercity",53-3021
"Bus Drivers, School or Special Client ",53-3022
"Bus Drivers, Special Client",53-3022
"Bus Drivers, Transit",53-3021
"Bus Drivers, Transit and Intercity ",53-3021
Bus Mechanics,49-3031
Business and Financial Operations Occupations,13-0000
Business Management Analysts,13-1111
Business Managers of Artists,13-1011
Business Managers of Athletes,13-1011
Business Managers of Performers,13-1011
Business Operations Specialists,13-1000
"Business Operations Specialists, All Other",13-1199
"Business Operations Specialists, Miscellaneous",13-1190
Business Process Consultants,13-1111
Business Services Sales Representatives,41-3099
"Business Teachers, Postsecondary",25-1010
"Business Teachers, Postsecondary",25-1011
Bussers,35-9011
"Busters, Rod",47-2171
"Busters, Steel Rod ",47-2171
Butane Compressor Operators,53-7071
Butcher Apprentices,51-3021
Butchers,51-3021
Butchers and Meat Cutters,51-3021
"Butchers and Other Meat, Poultry, and Fish Processing Workers",51-3020
"Butchers, Kosher ",51-3021
Butlers,39-9099
Button Sewing Machine Operators,51-6031
Buyers and Purchasing Agents,13-1020
"Buyers and Purchasing Agents, Farm Products",13-1021
"Buyers, Except Farm Products, Assistant Wholesale and Retail",13-1022
"Buyers, Farm Products",13-1021
"Buyers, Fruit ",13-1021
"Buyers, Gold ",13-1022
"Buyers, Grain",13-1021
"Buyers, Livestock ",13-1021
"Buyers, Merchandise ",13-1022
"Buyers, Radio Time ",13-1023
"Buyers, Tobacco",13-1021
Buzzsaw Operators,51-7041
C-13 Catapult Operators,55-3012
C2 Tactical Analysis Technicians,55-3015
Cab Drivers,53-3041
Cabinet Builders,51-7011
Cabinetmakers,51-7011
Cabinetmakers and Bench Carpenters,51-7010
Cabinetmakers and Bench Carpenters,51-7011
Cable Television Installers,49-9052
"Caddies, Golf ",39-3091
Caddy Masters,39-1021
Cafeteria Attendants,35-9011
Cafeteria Cooks,35-2012
Cafeteria Counter Attendants,35-3022
Cafeteria Servers,35-3022
Cage Cashiers,43-3041
Calculus Professors,25-1022
"Calibrators, Electrical Timing Device",51-2093
"Callers, Train ",27-3012
Calligraphers,27-1019
Camera and Photographic Equipment Repairers,49-9061
"Camera Operators, Motion Picture",27-4031
"Camera Operators, Television",27-4031
"Camera Operators, Television, Video, and Motion Picture",27-4031
"Camera Operators, Video",27-4031
Camera Repairers,49-9061
Camp Cooks,35-2012
Camp Counselors,39-9032
Campaign Fundraisers,13-1131
Cancer Registrars,29-2071
Cancer Researchers,19-1042
Candy Makers,51-3092
Canvas Cutters,51-6062
"Cappers, Bottle ",51-9111
Captains,53-5021
"Captains, Airline ",53-2011
"Captains, Barge ",53-5021
"Captains, Mates, and Pilots of Water Vessels",53-5021
"Captains, Port ",53-5021
Car Alarm Installers,49-2096
Car Rental Agents,41-2021
Car Stereo Installers,49-2096
Car Wash Attendants,53-7061
Cardiac Catheterization Technologists,29-2031
Cardiologists,29-1069
Cardiology Nurse Practitioners,29-1171
Cardiovascular Surgeons,29-1067
Cardiovascular Technicians,29-2031
Cardiovascular Technologists,29-2031
Cardiovascular Technologists and Technicians,29-2031
Cardroom Supervisors,39-1011
Career Counselors,21-1012
Career Technical Counselors,21-1012
"Career/Technical Education Teachers, Middle School",25-2023
"Career/Technical Education Teachers, Secondary School",25-2032
"Caretakers, Laboratory Animal",31-9096
"Caretakers, Lawn ",37-3011
"Caretakers, Nonfarm Animal",39-2021
Cargo Agents,43-5011
Cargo and Freight Agents,43-5010
Cargo and Freight Agents,43-5011
Cargo Handlers,53-7062
Cargo Routers,43-5011
Carpenter Assistants,47-3012
Carpenter Supervisors,47-1011
Carpenters,47-2030
Carpenters,47-2031
Carpenters Helpers,47-3012
"Carpenters, Bench",51-7011
"Carpenters, Building ",47-2031
Carpentry Managers,11-9021
Carpet Installers,47-2041
Carpet Layers,47-2041
"Carpet, Floor, and Tile Installers and Finishers",47-2040
"Carriers, Brick ",47-3011
"Carriers, Letter ",43-5052
"Carriers, Newspaper ",41-9091
"Carriers, Rural Route ",43-5052
Cartographers,17-1021
Cartographers and Photogrammetrists,17-1021
"Cartographers, Digital ",17-1021
Cartographic Technicians,17-3031
Cartography Professors,25-1064
Carton Making Machine Operators,51-9196
"Cartoonists, Political ",27-1013
"Carvers, Meat ",51-3021
"Carvers, Wood ",51-7099
Case Work Aides,21-1093
Cash Register Operators,41-2011
Cash Register Servicers,49-2011
Cashier Supervisors,41-1011
Cashiers,41-2010
Cashiers,41-2011
"Cashiers, Booth",41-2012
"Cashiers, Cage ",43-3041
"Cashiers, Casino ",43-3041
Casino Cashiers,43-3041
Casino Investigators,33-9031
Casino Managers,11-9071
Casino Slot Supervisors,39-1012
Casino Surveillance Officers,33-9031
"Casters, Airset ",51-4071
"Casters, Except Metal and Plastic",51-9195
"Casters, Ingot ",51-4052
"Casters, Metal",51-4052
Casting Directors,27-2012
"Casting Machine Operators, Metal and Plastic",51-4072
"Casting Machine Setters, Metal and Plastic",51-4072
"Casting Machine Tenders, Metal and Plastic",51-4072
Cast-Iron Drain Pipe Layers,47-2151
Catalogue Clerks,43-4151
Catalogue Illustrators,27-1024
Catapult and Arresting Gear Officers,55-1012
"Catchers, Dog ",33-9011
Cattle Branders,45-2093
Cattle Examiners,45-2011
Cavalry Officers,55-1013
Ceiling Insulation Blowers,47-2131
Ceiling Tile Installers,47-2081
Cellular Equipment Installers,49-2021
Cellular Equipment Repairers,49-2021
Cellulose Insulation Helpers,47-3019
Cement Masons,47-2051
Cement Masons and Concrete Finishers,47-2051
"Cement Masons, Concrete Finishers, and Terrazzo Workers",47-2050
Cement Patchers,47-2051
Cement Truck Drivers,53-3032
Census Takers,43-4111
"Centerer-Edgers, Precision Lens",51-9083
"Centerers and Edgers, Precision Lens ",51-9083
Central Sterile Supply Technicians,31-9093
Ceramic Engineers,17-2131
Ceramic Painters,51-9123
Ceramic Scientists,19-2032
Ceramic Tile Installers,47-2044
"Ceramists, Dental ",51-9081
Certified Athletic Trainers,29-9091
"Certified Children, Youth, and Family Social Workers",21-1021
Certified Dental Assistants,31-9091
Certified Detention Deputies,33-3012
Certified Marine Mechanics,49-3051
Certified Morticians,39-4031
Certified Nuclear Medicine Technologists,29-2033
Certified Nurse Aides,31-1014
Certified Nurse Midwives (CNM),29-1161
Certified Nursing Assistants,31-1014
Certified Occupational Therapy Assistants,31-2011
Certified Orthotic Fitters,29-2091
Certified Personal Chefs,35-2013
Certified Pharmacy Technicians,29-2052
Certified Public Accountants,13-2011
Certified Recreational Therapists,29-1125
Certified Registered Nurse Anesthetists (CRNA),29-1151
Certified Respiratory Therapy Technicians,29-2054
Certified Surgical Technologists,29-2055
Certified Vehicle Fire Investigators,33-2021
Chambermaids,37-2012
"Change Persons, Gaming",41-2012
"Changers, Tire",49-3093
Charge Authorizers,43-4041
Charter Pilots (Air Transport Certificate Required),53-2011
Charter Pilots (Air Transport Pilot Certificate Required),53-2011
Charter Pilots (Airline),53-2011
Charter Pilots (Commercial Pilot Certificate Required),53-2012
Charter Pilots (Commercial),53-2012
Chauffeurs,53-3041
"Checkers, Coat ",39-3093
"Checkers, Credit",43-4041
"Checkers, Credit Rating ",43-4041
"Checkers, Grocery ",41-2011
"Checkers, Recordkeeping",43-5111
Cheese Makers,51-3092
Cheese Weighers,43-5111
Chefs,35-1011
Chefs and Head Cooks,35-1011
"Chefs, Certified Personal ",35-2013
"Chefs, Executive ",35-1011
"Chefs, Pastry",35-1011
"Chefs, Personal",35-2013
"Chefs, Private ",35-2013
"Chefs, Sous ",35-1011
Chemical Dependency Counselors,21-1011
Chemical Engineering Teachers,25-1032
Chemical Engineers,17-2040
Chemical Engineers,17-2041
Chemical Equipment Operators,51-9011
Chemical Equipment Operators and Tenders,51-9011
Chemical Equipment Tenders,51-9011
Chemical Laboratory Technicians,19-4031
Chemical Plant and System Operators,51-8091
Chemical Plant Operators,51-8091
Chemical Process Equipment Operators,51-9011
"Chemical Processing Machine Setters, Operators, and Tenders",51-9010
Chemical System Operators,51-8091
Chemical Technicians,19-4030
Chemical Technicians,19-4031
"Chemical, Biological, Radiological, and Nuclear (CBRN) Officers",55-1019
"Chemistry Teachers, Postsecondary",25-1052
Chemists,19-2031
Chemists and Materials Scientists,19-2030
"Chemists, Atmospheric ",19-2021
"Chemists, Biological ",19-1021
"Chemists, Food ",19-2031
"Chemists, Industrial ",19-2031
"Chemists, Inorganic ",19-2031
"Chemists, Research and Development  ",19-2031
Cherry Picker Operators,53-7021
Chief Executives,11-1010
Chief Executives,11-1011
Chief Technology Officers,11-3021
"Chiefs, Intelligence ",55-2013
Child Abuse Workers,21-1021
Child and Family Counselors,21-1013
Child Development Professors,25-1066
Child Psychologists,19-3031
Child Social Workers,21-1021
Child Welfare Directors,11-9151
"Child, Family, and School Social Workers",21-1021
Childcare Center Administrators,11-9031
Childcare Center/Program Education Administrators,11-9031
Childcare Workers,39-9010
Childcare Workers,39-9011
Chiller Tenders,51-9193
Chimney Sweepers,37-2019
China Decorators,51-9123
Chinese Language Professors,25-1124
Chiropodists,29-1081
Chiropractic Assistants,31-9092
Chiropractic Physicians,29-1011
Chiropractors,29-1010
Chiropractors,29-1011
Choirmasters,27-2041
Choral Directors,27-2041
Choreographers,27-2032
Chromosomal Disorders Counselors,29-9092
Churn Drillers,47-5021
Cigar Rollers,51-9195
Cinematographers,27-4031
Circle Saw Operators,51-7041
Circuit Board Assemblers,51-2022
Circuit Court Clerks,43-4031
Circuit Court Judges,23-1023
Circuit Design Engineers,17-2072
Circulation Clerks,43-4121
Citizenship Teachers,25-3021
City Council Members,11-1031
City Planners,19-3051
City Planning Aides,19-4061
Civil Computer-Aided Design and Drafting Technicians,17-3011
Civil Drafters,17-3011
Civil Engineering Professors,25-1032
Civil Engineering Teachers,25-1032
Civil Engineering Technicians,17-3022
Civil Engineers,17-2050
Civil Engineers,17-2051
Claims Adjusters,13-1031
"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1030
"Claims Adjusters, Examiners, and Investigators",13-1031
Claims Examiners,13-1031
Claims Investigators,13-1031
Clarifying Machine Operators,51-9012
Clarifying Machine Setters,51-9012
Clarifying Machine Tenders,51-9012
Classified Ad Clerks,43-4151
Clay Mine Cutting Machine Operators,47-5042
Clay Mixers,51-9023
Cleaners of Equipment,53-7061
Cleaners of Vehicles,53-7061
Cleaners of Vehicles and Equipment,53-7061
"Cleaners, Aircraft ",53-7061
"Cleaners, Except Maids and Housekeeping Cleaners",37-2011
"Cleaners, House ",37-2012
"Cleaners, Housekeeping",37-2012
"Cleaners, Immersion Metal ",51-9192
"Cleaners, Septic Tank ",47-4071
"Cleaners, Sewer Pipe",47-4071
"Cleaners, Silverware ",35-9021
Cleaning Equipment Operators,51-9192
Cleaning Equipment Tenders,51-9192
Cleaning Staff Supervisors,37-1011
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192
Clergy,21-2010
Clergy,21-2011
Clerical Library Assistants,43-4121
Clerical Supervisors,43-1011
Clerk Typists,43-9022
Clerks of Court,11-9199
"Clerks, Accounting",43-3031
"Clerks, Accounts Receivable ",43-3031
"Clerks, Actuarial",43-9111
"Clerks, Administrative ",43-9061
"Clerks, Appointment ",43-4171
"Clerks, Auditing",43-3031
"Clerks, Banking Services ",43-4141
"Clerks, Betting ",39-3012
"Clerks, Billing",43-3021
"Clerks, Bookkeeping",43-3031
"Clerks, Braille and Talking Books ",43-4121
"Clerks, Brokerage",43-4011
"Clerks, Bulk Mail",43-5051
"Clerks, Catalogue ",43-4151
"Clerks, Circuit Court ",43-4031
"Clerks, Circulation ",43-4121
"Clerks, Classified Ad ",43-4151
"Clerks, Commodities ",43-4011
"Clerks, Correspondence",43-4021
"Clerks, Counter",41-2021
"Clerks, Court",43-4031
"Clerks, Credit",43-4041
"Clerks, Customer Complaint ",43-4051
"Clerks, Data Input ",43-9021
"Clerks, Direct Mail ",43-9051
"Clerks, Dividend ",43-4011
"Clerks, Document ",43-4071
"Clerks, Dry Cleaning Counter ",41-2021
"Clerks, Election",43-4199
"Clerks, Expediting",43-5061
"Clerks, File",43-4071
"Clerks, Financial Reserve Clerk",43-3099
"Clerks, Financial, All Other",43-3099 
"Clerks, Fingerprint ",43-9199
"Clerks, Flat Sorting Machine ",43-5053
"Clerks, Foreign Exchange ",43-3071
"Clerks, Hotel Desk",43-4081
"Clerks, Hotel Front Desk ",43-4081
"Clerks, Hotel Registration ",43-4081
"Clerks, HR",43-4161
"Clerks, Incoming Freight ",43-5071
"Clerks, Information",43-4171
"Clerks, Information, All Other",43-4199
"Clerks, Insurance Claims",43-9041
"Clerks, Insurance Policy Issue ",43-9041
"Clerks, Insurance Policy Processing",43-9041
"Clerks, Inventory Control ",43-5081
"Clerks, Invoice Control ",43-3021
"Clerks, Judicial ",23-1012
"Clerks, Judicial Law",23-1012
"Clerks, Land Leasing Information ",43-4171
"Clerks, License",43-4031
"Clerks, Loan",43-4131
"Clerks, Mail Forwarding System Markup ",43-5053
"Clerks, Mail, Except Postal Service",43-9051
"Clerks, Mailroom ",43-9051
"Clerks, Material Control ",43-5061
